,Country,Confirmed,Death,Recovered,Active,New cases,New death,New recovered,Death/100 Cases,Recovered/100 Cases,Death/100 Recovered,Population,Cases/Million People
59,Fiji,38,2,33,3,0,0,0,5.26,86.84,6.06,896444,42.0
60,Finland,24307,393,16800,7114,541,0,0,1.62,69.12,2.34,5540718,4387.0
61,France,2260789,52212,166715,2041862,12580,213,1222,2.31,7.37,31.32,68136441,33180.0
62,Gabon,9191,59,9037,95,0,0,0,0.64,98.32,0.65,2225728,4129.0
63,Gambia,3731,123,3590,18,0,0,0,3.3,96.22,3.43,2416664,1544.0
64,Georgia,127942,1195,106328,20419,4472,34,4058,0.93,83.11,1.12,3989175,32072.0
65,Germany,1052494,16181,718604,317709,13845,170,13391,1.54,68.28,2.25,83783945,12562.0
66,Ghana,51379,323,50298,758,154,0,171,0.63,97.9,0.64,31072945,1653.0
67,Greece,103034,2223,23074,77737,1747,121,0,2.16,22.39,9.63,10423056,9885.0
68,Grenada,41,0,30,11,0,0,0,0.0,73.17,0.0,112519,364.0
69,Guatemala,121798,4161,110209,7428,666,20,590,3.42,90.49,3.78,17915567,6798.0
70,Guinea,13039,76,11982,981,0,0,0,0.58,91.89,0.63,13132792,993.0
71,Guinea-Bissau,2422,43,2309,70,0,0,0,1.78,95.33,1.86,1967998,1231.0
72,Guyana,5338,149,4317,872,28,0,45,2.79,80.87,3.45,786559,6787.0
73,Haiti,9272,232,7951,1089,8,0,0,2.5,85.75,2.92,11402533,813.0
74,Holy See,27,0,15,12,0,0,0,0.0,55.56,0.0,809,33375.0
75,Honduras,107513,2905,47638,56970,379,6,62,2.7,44.31,6.1,9904608,10855.0
76,Hungary,204708,4516,54021,146171,6268,152,1895,2.21,26.39,8.36,9660350,21191.0
77,Iceland,5371,26,5152,193,25,0,8,0.48,95.92,0.5,341250,15739.0
78,India,9392919,136696,8802267,453956,41810,496,42298,1.46,93.71,1.55,1380004385,6806.0
79,Indonesia,527999,16646,441983,69370,5418,125,4527,3.15,83.71,3.77,273523621,1930.0
80,Iran,935799,47486,648831,239482,13402,391,8766,5.07,69.33,7.32,83992953,11141.0
81,Iraq,548821,12200,478537,58084,1606,33,2240,2.22,87.19,2.55,40222503,13645.0
82,Ireland,71942,2050,23364,46528,243,7,0,2.85,32.48,8.77,4937796,14570.0
83,Israel,334789,2854,322012,9923,987,15,666,0.85,96.18,0.89,8655541,38679.0
84,Italy,1564532,54363,720861,789308,26315,686,24214,3.47,46.08,7.54,60461828,25876.0
85,Jamaica,10669,251,5953,4465,69,1,124,2.35,55.8,4.22,2961161,3603.0
86,Japan,145457,2042,120103,23312,2679,14,2394,1.4,82.57,1.7,126476458,1150.0
87,Jordan,210709,2626,142710,65373,3108,56,2310,1.25,67.73,1.84,10203140,20651.0
88,Kazakhstan,130865,1990,116187,12688,826,0,143,1.52,88.78,1.71,18776707,6970.0
89,Kenya,82605,1445,54399,26761,949,4,274,1.75,65.85,2.66,53771300,1536.0
90,"Korea, South",33824,523,27542,5759,449,1,193,1.55,81.43,1.9,51269183,660.0
91,Kosovo,38431,989,23754,13688,639,14,480,2.57,61.81,4.16,1793000,21434.0
92,Kuwait,142195,875,135889,5431,319,1,586,0.62,95.57,0.64,4270563,33297.0
93,Kyrgyzstan,71971,1262,63407,7302,423,6,461,1.75,88.1,1.99,6524191,11031.0
94,Laos,39,0,24,15,0,0,0,0.0,61.54,0.0,7275556,5.0
95,Latvia,16561,193,1719,14649,753,3,0,1.17,10.38,11.23,1886202,8780.0
96,Lebanon,125678,991,74950,49737,1696,11,942,0.79,59.64,1.32,6825442,18413.0
97,Lesotho,2109,44,1278,787,0,0,0,2.09,60.6,3.44,2142249,984.0
98,Liberia,1595,83,1343,169,0,0,0,5.2,84.2,6.18,5057677,315.0
99,Libya,81273,1153,52299,27821,0,0,0,1.42,64.35,2.2,6871287,11828.0
100,Liechtenstein,1253,15,1024,214,22,0,0,1.2,81.72,1.46,38137,32855.0
101,Lithuania,58212,482,14056,43674,2117,11,542,0.83,24.15,3.43,2722291,21383.0
102,Luxembourg,33409,300,24073,9036,0,0,0,0.9,72.06,1.25,625976,53371.0
103,MS Zaandam,9,2,0,7,0,0,0,22.22,0.0,inf,76804,117.0
104,Madagascar,17341,251,16657,433,0,0,0,1.45,96.06,1.51,27691019,626.0
105,Malawi,6025,185,5453,387,1,0,0,3.07,90.51,3.39,19129955,315.0
106,Malaysia,63176,354,51314,11508,1315,4,1110,0.56,81.22,0.69,32365998,1952.0
107,Maldives,12947,46,11781,1120,14,0,32,0.36,90.99,0.39,540542,23952.0
108,Mali,4659,149,3138,1372,92,0,47,3.2,67.35,4.75,20250834,230.0
109,Malta,9609,132,7418,2059,108,4,121,1.37,77.2,1.78,441539,21763.0
110,Marshall Islands,4,0,1,3,0,0,0,0.0,25.0,0.0,59326,67.0
111,Mauritania,8458,172,7665,621,34,0,0,2.03,90.62,2.24,4649660,1819.0
112,Mauritius,501,10,443,48,0,0,0,2.0,88.42,2.26,1271767,394.0
113,Mexico,1101403,105459,803581,192363,22809,1217,0,9.57,72.96,13.12,128932753,8542.0
114,Moldova,105852,2269,93028,10555,1712,19,1231,2.14,87.88,2.44,4033963,26240.0
115,Monaco,607,3,537,67,4,0,5,0.49,88.47,0.56,39244,15467.0
116,Mongolia,784,0,354,430,24,0,7,0.0,45.15,0.0,3278292,239.0
117,Montenegro,34454,481,22796,11177,618,7,430,1.4,66.16,2.11,628062,54858.0
118,Morocco,349688,5739,298574,45375,4412,50,4538,1.64,85.38,1.92,36910558,9474.0
119,Mozambique,15586,129,13677,1780,80,1,46,0.83,87.75,0.94,31255435,499.0
120,Namibia,14285,150,13412,723,78,1,24,1.05,93.89,1.12,2540916,5622.0
121,Nepal,230723,1454,211186,18083,1380,19,1751,0.63,91.53,0.69,29136808,7919.0
122,Netherlands,521639,9403,6889,505347,4594,60,36,1.8,1.32,136.49,17474842,29851.0
123,New Zealand,2050,25,1956,69,0,0,0,1.22,95.41,1.28,4822233,425.0
124,Nicaragua,5784,160,4225,1399,0,0,0,2.77,73.05,3.79,6624554,873.0
125,Niger,1484,70,1205,209,12,0,13,4.72,81.2,5.81,24206636,61.0
126,Nigeria,67330,1171,62819,3340,110,0,133,1.74,93.3,1.86,206139587,327.0
127,North Macedonia,60723,1699,37505,21519,1022,41,680,2.8,61.76,4.53,2083380,29146.0
128,Norway,35546,328,17998,17220,353,0,0,0.92,50.63,1.82,5421242,6557.0
129,Oman,122579,1391,113856,7332,0,0,0,1.13,92.88,1.22,5106622,24004.0
130,Pakistan,395185,7985,339810,47390,2829,43,2257,2.02,85.99,2.35,220892331,1789.0
131,Panama,163453,3039,142872,17542,1709,9,826,1.86,87.41,2.13,4314768,37882.0
132,Papua New Guinea,645,7,588,50,0,0,0,1.09,91.16,1.19,8947027,72.0
133,Paraguay,81131,1731,57496,21904,695,11,505,2.13,70.87,3.01,7132530,11375.0
134,Peru,960368,35879,888815,35674,4021,94,1796,3.74,92.55,4.04,32971846,29127.0
135,Philippines,427797,8333,388062,31402,1879,78,446,1.95,90.71,2.15,109581085,3904.0
136,Poland,973593,16746,538273,418574,15177,599,21637,1.72,55.29,3.11,37846605,25725.0
137,Portugal,290706,4363,206275,80068,4868,87,6829,1.5,70.96,2.12,10196707,28510.0
138,Qatar,138477,237,135651,2589,227,0,281,0.17,97.96,0.17,2881060,48065.0
139,Romania,465982,11045,335764,119173,8134,161,9107,2.37,72.06,3.29,19237682,24222.0
140,Russia,2223500,38676,1724416,460408,26809,501,26798,1.74,77.55,2.24,145934460,15236.0
141,Rwanda,5891,47,5480,364,19,0,83,0.8,93.02,0.86,12952209,455.0
142,Saint Kitts and Nevis,22,0,19,3,0,0,0,0.0,86.36,0.0,53109,414.0
143,Saint Lucia,252,2,109,141,6,0,0,0.79,43.25,1.83,183629,1372.0
144,Saint Vincent and the Grenadines,85,0,79,6,0,0,0,0.0,92.94,0.0,110854,767.0
145,San Marino,1586,45,1285,256,32,1,33,2.84,81.02,3.5,33938,46732.0
146,Sao Tome and Principe,989,17,930,42,4,0,2,1.72,94.03,1.83,219159,4513.0
147,Saudi Arabia,356911,5870,346023,5018,220,13,401,1.64,96.95,1.7,34813867,10252.0
148,Senegal,16027,332,15582,113,46,0,13,2.07,97.22,2.13,16743930,957.0
149,Serbia,163035,1484,0,161551,7041,61,0,0.91,0.0,inf,8737370,18660.0
150,Seychelles,173,0,162,11,0,0,0,0.0,93.64,0.0,98340,1759.0
151,Sierra Leone,2410,74,1834,502,0,0,1,3.07,76.1,4.03,7976985,302.0
152,Singapore,58205,29,58119,57,6,1,8,0.05,99.85,0.05,5850343,9949.0
153,Slovakia,104632,798,62094,41740,1526,27,2809,0.76,59.35,1.29,5459643,19165.0
154,Slovenia,74257,1336,52814,20107,1583,43,1693,1.8,71.12,2.53,2078932,35719.0
155,Solomon Islands,17,0,5,12,0,0,0,0.0,29.41,0.0,686884,25.0
156,Somalia,4451,113,3417,921,0,0,0,2.54,76.77,3.31,15893219,280.0
157,South Africa,785139,21439,723347,40353,3198,61,471,2.73,92.13,2.96,59308690,13238.0
